qid,country_of_origin,country,located_in,part_of_culture,instance_of,heritage_status,label,instance_count,culture_count,heritage_count,has_instance,has_culture,has_heritage,has_golden_instance_qid,has_golden_culture_qid,has_golden_heritage_qid,unique_qid_count
Q2704613,[],[],[],[],['Q5'],[],Cultural Exclusive,1,0,0,1,0,0,1,0,0,1
Q337429,[],['Q45'],[],[],"['Q476028', 'Q847017']",[],Cultural Exclusive,2,0,0,1,0,0,1,0,0,3
Q288066,[],[],[],[],['Q18608583'],[],Cultural Agnostic,1,0,0,1,0,0,1,0,0,1
Q4672263,['Q145'],[],[],[],['Q431289'],[],Cultural Agnostic,1,0,0,1,0,0,0,0,0,2
Q16001522,[],[],[],[],"['Q2915955', 'Q7225120', 'Q9357091']",[],Cultural Agnostic,3,0,0,1,0,0,1,0,0,3
Q4672374,[],[],[],[],[],[],Cultural Agnostic,0,0,0,0,0,0,0,0,0,0
Q83390,['Q1747689'],[],[],"['Q11772', 'Q1747689']","['Q484692', 'Q188451', 'Q862597']",[],Cultural Agnostic,3,2,0,1,1,0,1,0,0,5
Q419736,[],[],[],[],[],[],Cultural Agnostic,0,0,0,0,0,0,0,0,0,0
Q706884,[],[],[],[],['Q7748'],[],Cultural Agnostic,1,0,0,1,0,0,1,0,0,1
Q1863064,[],[],[],[],"['Q66715801', 'Q12737077']",[],Cultural Representative,2,0,0,1,0,0,1,0,0,2
Q42292,[],[],[],[],['Q16521'],[],Cultural Agnostic,1,0,0,1,0,0,1,0,0,1
Q386510,[],[],[],[],['Q16521'],[],Cultural Agnostic,1,0,0,1,0,0,1,0,0,1
Q236932,['Q30'],[],[],[],['Q188451'],[],Cultural Representative,1,0,0,1,0,0,1,0,0,2
Q196188,[],[],[],[],[],[],Cultural Agnostic,0,0,0,0,0,0,0,0,0,0
Q423918,[],[],[],[],['Q188451'],[],Cultural Agnostic,1,0,0,1,0,0,1,0,0,1
Q288838,[],['Q664'],[],[],['Q7278'],[],Cultural Exclusive,1,0,0,1,0,0,0,0,0,2
Q188473,[],[],[],[],['Q201658'],[],Cultural Agnostic,1,0,0,1,0,0,1,0,0,1
Q4010939,[],[],[],[],['Q109733629'],[],Cultural Agnostic,1,0,0,1,0,0,0,0,0,1
Q4677625,[],[],[],[],[],[],Cultural Agnostic,0,0,0,0,0,0,0,0,0,0
Q344394,[],['Q30'],['Q506230'],[],"['Q3957', 'Q123705']",[],Cultural Exclusive,2,0,0,1,0,0,1,0,0,4
Q4677709,[],[],[],[],['Q28640'],[],Cultural Agnostic,1,0,0,1,0,0,1,0,0,1
Q21169216,[],[],[],[],"['Q12737077', 'Q28640']",[],Cultural Agnostic,2,0,0,1,0,0,1,0,0,2
Q289953,[],['Q183'],[],[],"['Q6918183', 'Q2085381', 'Q337810', 'Q15911314', 'Q163740']",[],Cultural Exclusive,5,0,0,1,0,0,0,0,0,6
Q4214,[],[],[],[],['Q5'],[],Cultural Representative,1,0,0,1,0,0,1,0,0,1
Q310285,[],[],[],[],['Q5'],[],Cultural Representative,1,0,0,1,0,0,1,0,0,1
Q352270,[],['Q43'],[],[],"['Q847017', 'Q476028']",[],Cultural Exclusive,2,0,0,1,0,0,1,0,0,3
Q31353,[],[],[],[],['Q5'],[],Cultural Representative,1,0,0,1,0,0,1,0,0,1
Q367540,[],[],[],[],['Q189819'],[],Cultural Exclusive,1,0,0,1,0,0,1,0,0,1
Q1306755,[],[],[],[],[],[],Cultural Agnostic,0,0,0,0,0,0,0,0,0,0
Q13455645,[],['Q27'],[],[],[],[],Cultural Exclusive,0,0,0,0,0,0,0,0,0,1
Q515244,[],[],[],[],[],[],Cultural Exclusive,0,0,0,0,0,0,0,0,0,0
Q358832,[],[],[],[],['Q4164871'],[],Cultural Representative,1,0,0,1,0,0,0,0,0,1
Q3270129,[],['Q148'],['Q312485'],[],['Q2221906'],[],Cultural Exclusive,1,0,0,1,0,0,0,0,0,3
Q289078,[],['Q736'],[],[],['Q7278'],[],Cultural Exclusive,1,0,0,1,0,0,0,0,0,2
Q98756,[],[],[],[],['Q5'],[],Cultural Exclusive,1,0,0,1,0,0,1,0,0,1
Q183496,[],[],[],[],['Q206615'],[],Cultural Agnostic,1,0,0,1,0,0,1,0,0,1
Q78125,[],[],[],[],['Q5'],[],Cultural Exclusive,1,0,0,1,0,0,1,0,0,1
Q5327,[],[],[],[],['Q5'],[],Cultural Representative,1,0,0,1,0,0,1,0,0,1
Q87827,[],[],[],[],['Q5'],[],Cultural Exclusive,1,0,0,1,0,0,1,0,0,1
Q16001865,[],[],[],[],[],[],Cultural Agnostic,0,0,0,0,0,0,0,0,0,0
Q123621,[],[],[],[],['Q5'],[],Cultural Representative,1,0,0,1,0,0,1,0,0,1
Q373699,[],[],[],[],['Q5'],[],Cultural Exclusive,1,0,0,1,0,0,1,0,0,1
Q373765,[],[],[],[],['Q5'],[],Cultural Representative,1,0,0,1,0,0,1,0,0,1
Q80994,[],[],[],[],"['Q785260', 'Q185836', 'Q5932254', 'Q851990']",[],Cultural Agnostic,4,0,0,1,0,0,0,0,0,4
Q3249257,[],[],[],[],['Q483394'],[],Cultural Agnostic,1,0,0,1,0,0,1,0,0,1
Q379222,[],['Q30'],[],[],['Q1331793'],[],Cultural Representative,1,0,0,1,0,0,1,0,0,2
Q16001911,[],[],[],[],['Q289'],[],Cultural Agnostic,1,0,0,1,0,0,0,0,0,1
Q319221,[],[],[],[],['Q201658'],[],Cultural Agnostic,1,0,0,1,0,0,1,0,0,1
Q3773427,[],[],[],[],['Q96239483'],[],Cultural Exclusive,1,0,0,1,0,0,0,0,0,1
Q381276,[],[],[],[],"['Q431289', 'Q786820']",[],Cultural Representative,2,0,0,1,0,0,0,0,0,2
Q193124,[],[],[],[],[],[],Cultural Agnostic,0,0,0,0,0,0,0,0,0,0
Q376771,[],['Q39'],[],[],['Q334166'],[],Cultural Agnostic,1,0,0,1,0,0,1,0,0,2
Q62447,[],[],[],[],[],[],Cultural Agnostic,0,0,0,0,0,0,0,0,0,0
Q365873,[],[],[],[],[],[],Cultural Agnostic,0,0,0,0,0,0,0,0,0,0
Q381564,[],['Q191'],[],[],"['Q740752', 'Q4830453', 'Q46970']",[],Cultural Exclusive,3,0,0,1,0,0,1,0,0,4
Q4688512,[],['Q145'],[],[],"['Q4830453', 'Q2519914', 'Q28823']",[],Cultural Exclusive,3,0,0,1,0,0,1,0,0,4
Q35986,[],[],[],[],"['Q22811234', 'Q1047113', 'Q2267705']",[],Cultural Agnostic,3,0,0,1,0,0,1,0,0,3
Q291566,[],['Q34'],['Q505018'],[],['Q41176'],[],Cultural Exclusive,1,0,0,1,0,0,0,0,0,3
Q4688848,[],[],[],[],"['Q6460735', 'Q13418847']",[],Cultural Exclusive,2,0,0,1,0,0,1,0,0,2
Q59059,[],[],[],[],[],[],Cultural Representative,0,0,0,0,0,0,0,0,0,0
Q4384867,[],[],[],[],[],[],Cultural Exclusive,0,0,0,0,0,0,0,0,0,0
Q387407,[],[],[],[],"['Q107357104', 'Q108437325']",[],Cultural Representative,2,0,0,1,0,0,1,0,0,2
Q3070125,[],"['Q29', 'Q1028']",[],[],['Q220505'],[],Cultural Exclusive,1,0,0,1,0,0,1,0,0,3
Q15276542,[],[],[],[],[],[],Cultural Representative,0,0,0,0,0,0,0,0,0,0
Q4689646,[],['Q30'],[],[],[],[],Cultural Exclusive,0,0,0,0,0,0,0,0,0,1
Q3070379,[],['Q38'],[],[],['Q220505'],[],Cultural Exclusive,1,0,0,1,0,0,1,0,0,2
Q123050602,[],[],[],[],"['Q2267705', 'Q2915955']",[],Cultural Representative,2,0,0,1,0,0,1,0,0,2
Q384559,[],['Q145'],[],[],['Q786820'],[],Cultural Exclusive,1,0,0,1,0,0,0,0,0,2
Q388202,[],[],[],[],['Q110401222'],[],Cultural Representative,1,0,0,1,0,0,1,0,0,1
Q24910,['Q35'],[],[],[],['Q11424'],[],Cultural Exclusive,1,0,0,1,0,0,1,0,0,2
Q4726861,[],['Q252'],[],[],"['Q1189816', 'Q477544']",[],Cultural Exclusive,2,0,0,1,0,0,0,0,0,3
Q392918,[],[],[],[],[],[],Cultural Exclusive,0,0,0,0,0,0,0,0,0,0
Q4692205,[],['Q30'],['Q1439'],[],"['Q82821', 'Q27968055']",[],Cultural Exclusive,2,0,0,1,0,0,0,0,0,4
Q866298,[],[],[],[],[],[],Cultural Agnostic,0,0,0,0,0,0,0,0,0,0
Q393786,[],['Q183'],[],[],"['Q740752', 'Q769493']",[],Cultural Exclusive,2,0,0,1,0,0,1,0,0,3
Q395389,[],['Q36'],[],[],"['Q1331793', 'Q6881511', 'Q891723', 'Q18127']",[],Cultural Exclusive,4,0,0,1,0,0,1,0,0,5
Q174312,[],['Q39'],"['Q12724', 'Q69062']",[],"['Q685309', 'Q486972', 'Q123705']",[],Cultural Exclusive,3,0,0,1,0,0,1,0,0,6
Q19890860,[],[],[],[],['Q63982911'],[],Cultural Agnostic,1,0,0,1,0,0,0,0,0,1
Q4693967,[],[],[],[],['Q22811234'],[],Cultural Agnostic,1,0,0,1,0,0,1,0,0,1
Q2942535,[],['Q38'],['Q13678'],[],"['Q2977', 'Q120560', 'Q166118']",['Q26971668'],Cultural Exclusive,3,0,1,1,0,1,0,0,0,6
Q4694505,[],['Q96'],[],[],[],[],Cultural Representative,0,0,0,0,0,0,0,0,0,1
Q2635155,['Q1028'],[],[],[],"['Q188451', 'Q107357104']",[],Cultural Exclusive,2,0,0,1,0,0,1,0,0,3
Q26111350,[],[],[],[],['Q1826286'],[],Cultural Exclusive,1,0,0,1,0,0,1,0,0,1
Q310609,[],[],[],[],['Q45594'],[],Cultural Agnostic,1,0,0,1,0,0,1,0,0,1
Q174401,[],['Q183'],['Q16104'],[],"['Q476028', 'Q847017']",[],Cultural Exclusive,2,0,0,1,0,0,1,0,0,4
Q403021,[],['Q30'],['Q111517'],[],['Q740752'],[],Cultural Exclusive,1,0,0,1,0,0,1,0,0,3
Q5623,[],[],[],[],['Q5'],[],Cultural Exclusive,1,0,0,1,0,0,1,0,0,1
Q406714,[],[],[],[],"['Q107487333', 'Q188451']",[],Cultural Agnostic,2,0,0,1,0,0,1,0,0,2
Q4698311,[],[],[],[],[],[],Cultural Agnostic,0,0,0,0,0,0,0,0,0,0
Q407916,[],[],[],[],"['Q862597', 'Q188451']",[],Cultural Exclusive,2,0,0,1,0,0,1,0,0,2
Q420953,[],['Q30'],[],[],"['Q431289', 'Q161928']",[],Cultural Representative,2,0,0,1,0,0,0,0,0,3
Q4698342,[],[],[],[],['Q371174'],[],Cultural Agnostic,1,0,0,1,0,0,1,0,0,1
Q2049775,[],[],[],[],['Q371174'],[],Cultural Representative,1,0,0,1,0,0,1,0,0,1
Q644628,[],[],[],[],['Q31629'],[],Cultural Agnostic,1,0,0,1,0,0,1,0,0,1
Q1248784,[],[],[],[],[],[],Cultural Agnostic,0,0,0,0,0,0,0,0,0,0
Q4405347,[],[],[],[],['Q15142889'],[],Cultural Agnostic,1,0,0,1,0,0,0,0,0,1
Q403150,[],[],[],[],"['Q740752', 'Q465909']",[],Cultural Exclusive,2,0,0,1,0,0,1,0,0,2
Q1936626,[],[],[],[],['Q32880'],[],Cultural Agnostic,1,0,0,1,0,0,1,0,0,1
Q1408668,[],['Q142'],['Q47465'],[],"['Q868557', 'Q43229']",[],Cultural Exclusive,2,0,0,1,0,0,1,0,0,4
Q2078349,"['Q230', 'Q227']",[],[],[],[],[],Cultural Representative,0,0,0,0,0,0,0,0,0,2
Q412873,['Q60140'],[],[],[],['Q5891'],[],Cultural Exclusive,1,0,0,1,0,0,0,0,0,2
Q2828932,[],[],[],[],['Q371174'],[],Cultural Exclusive,1,0,0,1,0,0,1,0,0,1
Q276186,[],[],[],[],['Q5'],[],Cultural Representative,1,0,0,1,0,0,1,0,0,1
Q123559,[],"['Q8575586', 'Q1337854', 'Q171740', 'Q199688', 'Q238445', 'Q75613', 'Q965692', 'Q3025345', 'Q3540212', 'Q29', 'Q45']",[],[],"['Q2221906', 'Q24457356', 'Q27096213']",[],Cultural Representative,3,0,0,1,0,0,0,0,0,14
Q11826,[],[],[],[],['Q5'],[],Cultural Representative,1,0,0,1,0,0,1,0,0,1
Q31066,[],[],[],[],['Q5'],[],Cultural Representative,1,0,0,1,0,0,1,0,0,1
Q4705114,"['Q232', 'Q813']",[],[],[],['Q2207288'],[],Cultural Representative,1,0,0,1,0,0,0,0,0,3
Q16663,[],['Q29'],"['Q81977', 'Q71080']",[],['Q4022'],[],Cultural Exclusive,1,0,0,1,0,0,0,0,0,4
Q64780,[],"['Q34266', 'Q139319', 'Q2305208', 'Q1779823']",[],[],['Q7278'],[],Cultural Exclusive,1,0,0,1,0,0,0,0,0,5
Q1991629,[],[],[],[],"['Q223393', 'Q89522629']",[],Cultural Exclusive,2,0,0,1,0,0,1,0,0,2
Q16002379,[],"['Q222', 'Q1246', 'Q236']",[],[],"['Q16334295', 'Q82821']",[],Cultural Exclusive,2,0,0,1,0,0,1,0,0,5
Q16513,[],['Q29'],['Q54929'],[],['Q4022'],[],Cultural Exclusive,1,0,0,1,0,0,0,0,0,3
Q71951,[],[],[],[],['Q5'],[],Cultural Exclusive,1,0,0,1,0,0,1,0,0,1
Q122338,[],[],[],[],['Q5'],[],Cultural Representative,1,0,0,1,0,0,1,0,0,1
Q60045,[],[],[],[],['Q5'],[],Cultural Representative,1,0,0,1,0,0,1,0,0,1
Q5687778,[],[],[],[],['Q5'],[],Cultural Exclusive,1,0,0,1,0,0,1,0,0,1
Q717441,[],[],[],[],['Q5'],[],Cultural Representative,1,0,0,1,0,0,1,0,0,1
Q64246,[],[],[],[],['Q5'],[],Cultural Exclusive,1,0,0,1,0,0,1,0,0,1
Q428656,[],[],[],[],"['Q589183', 'Q188451']",[],Cultural Exclusive,2,0,0,1,0,0,1,0,0,2
Q527301,[],['Q29'],['Q15679'],[],"['Q91717', 'Q4989906']",['Q23712'],Cultural Exclusive,2,0,1,1,0,1,0,0,0,5
Q2647483,[],[],[],[],['Q1756157'],[],Cultural Agnostic,1,0,0,1,0,0,0,0,0,1
Q4713282,[],[],[],[],['Q7748'],[],Cultural Exclusive,1,0,0,1,0,0,1,0,0,1
Q4713290,[],[],[],[],['Q7748'],[],Cultural Exclusive,1,0,0,1,0,0,1,0,0,1
Q154,[],[],[],[],"['Q8386', 'Q187661', 'Q40050']",[],Cultural Agnostic,3,0,0,1,0,0,1,0,0,3
Q4714042,[],['Q30'],[],[],['Q114392939'],[],Cultural Exclusive,1,0,0,1,0,0,0,0,0,2
Q55215,[],[],[],[],['Q5'],[],Cultural Representative,1,0,0,1,0,0,1,0,0,1
Q263730,[],[],[],[],['Q5'],[],Cultural Representative,1,0,0,1,0,0,1,0,0,1
Q34474,[],[],[],[],['Q5'],[],Cultural Representative,1,0,0,1,0,0,1,0,0,1
Q98953,[],[],[],[],['Q5'],[],Cultural Agnostic,1,0,0,1,0,0,1,0,0,1
Q648952,[],[],[],[],['Q5'],[],Cultural Representative,1,0,0,1,0,0,1,0,0,1
Q435124,[],[],[],[],['Q5'],[],Cultural Representative,1,0,0,1,0,0,1,0,0,1
Q71763,[],[],[],[],['Q5'],[],Cultural Exclusive,1,0,0,1,0,0,1,0,0,1
Q15001,[],[],[],[],['Q5'],[],Cultural Exclusive,1,0,0,1,0,0,1,0,0,1
Q55221,[],[],[],[],['Q5'],[],Cultural Representative,1,0,0,1,0,0,1,0,0,1
Q55172,[],[],[],[],['Q5'],[],Cultural Representative,1,0,0,1,0,0,1,0,0,1
Q87,[],"['Q79', 'Q2277']","['Q29943', 'Q202311', 'Q1018761', 'Q1228622']",[],"['Q2264924', 'Q15284', 'Q1549591', 'Q148837', 'Q515']",['Q1459900'],Cultural Exclusive,5,0,1,1,0,1,1,0,0,12
Q88,[],['Q30'],"['Q1370', 'Q3551781']",[],"['Q1266818', 'Q515']",[],Cultural Exclusive,2,0,0,1,0,0,1,0,0,5
Q2356817,[],[],[],[],['Q9174'],[],Cultural Representative,1,0,0,1,0,0,0,0,0,1
Q185777,[],[],[],[],['Q5'],[],Cultural Exclusive,1,0,0,1,0,0,1,0,0,1
Q78229,[],[],[],[],['Q5'],[],Cultural Exclusive,1,0,0,1,0,0,1,0,0,1
Q88690,[],[],[],[],['Q5'],[],Cultural Exclusive,1,0,0,1,0,0,1,0,0,1
Q63781,[],[],[],[],['Q5'],[],Cultural Representative,1,0,0,1,0,0,1,0,0,1
Q103424,[],[],[],[],['Q5'],[],Cultural Exclusive,1,0,0,1,0,0,1,0,0,1
Q645598,[],[],[],[],['Q5'],[],Cultural Exclusive,1,0,0,1,0,0,1,0,0,1
Q558496,[],['Q843'],['Q11739'],[],['Q41176'],[],Cultural Exclusive,1,0,0,1,0,0,0,0,0,3
Q2563471,['Q45'],[],[],[],[],[],Cultural Representative,0,0,0,0,0,0,0,0,0,1
Q63556,[],[],[],[],['Q5'],[],Cultural Exclusive,1,0,0,1,0,0,1,0,0,1
Q223898,[],['Q129286'],[],[],['Q7278'],[],Cultural Exclusive,1,0,0,1,0,0,0,0,0,2
Q69119,[],['Q843'],[],[],['Q7278'],[],Cultural Exclusive,1,0,0,1,0,0,0,0,0,2
Q4729659,['Q30'],[],[],[],[],[],Cultural Agnostic,0,0,0,0,0,0,0,0,0,1
Q1471388,['Q30'],[],[],[],['Q14406742'],[],Cultural Representative,1,0,0,1,0,0,0,0,0,2
Q946380,[],"['Q2305208', 'Q15180']",[],[],['Q327333'],[],Cultural Exclusive,1,0,0,1,0,0,1,0,0,3
Q4396,[],['Q212'],[],[],['Q7278'],[],Cultural Exclusive,1,0,0,1,0,0,0,0,0,2
Q2361914,[],[],[],[],['Q45594'],[],Cultural Exclusive,1,0,0,1,0,0,1,0,0,1
Q39419,[],[],[],[],['Q5'],[],Cultural Exclusive,1,0,0,1,0,0,1,0,0,1
Q522831,['Q183'],[],[],[],['Q41298'],[],Cultural Exclusive,1,0,0,1,0,0,0,0,0,2
Q4733366,[],[],[],[],['Q1428660'],[],Cultural Agnostic,1,0,0,1,0,0,1,0,0,1
Q4652400,[],['Q30'],[],[],['Q1331793'],[],Cultural Agnostic,1,0,0,1,0,0,1,0,0,2
Q668041,['Q3462133'],[],[],[],"['Q41298', 'Q3136090', 'Q277759']",[],Cultural Exclusive,3,0,0,1,0,0,0,0,0,4
Q2839173,[],[],[],[],[],[],Cultural Exclusive,0,0,0,0,0,0,0,0,0,0
Q975953,[],[],[],[],"['Q25403900', 'Q40050']",[],Cultural Agnostic,2,0,0,1,0,0,1,0,0,2
Q16665,[],['Q29'],['Q5777'],[],['Q4022'],[],Cultural Exclusive,1,0,0,1,0,0,0,0,0,3
Q16548,[],['Q39'],['Q11925'],[],['Q8502'],[],Cultural Exclusive,1,0,0,1,0,0,0,0,0,3
Q2142568,[],[],[],[],[],[],Cultural Exclusive,0,0,0,0,0,0,0,0,0,0
Q252833,"['Q40', 'Q183', 'Q215', 'Q39']",[],[],[],['Q188451'],[],Cultural Representative,1,0,0,1,0,0,1,0,0,5
Q660559,[],[],[],[],['Q18608583'],[],Cultural Agnostic,1,0,0,1,0,0,1,0,0,1
Q2380231,[],['Q41304'],[],[],"['Q13418847', 'Q10931']",[],Cultural Exclusive,2,0,0,1,0,0,1,0,0,3
Q47996,['Q145'],[],[],[],['Q215380'],[],Cultural Representative,1,0,0,1,0,0,1,0,0,2
Q1412422,[],[],[],[],"['Q28640', 'Q16335296']",[],Cultural Exclusive,2,0,0,1,0,0,1,0,0,2
Q2479824,[],[],[],[],[],[],Cultural Exclusive,0,0,0,0,0,0,0,0,0,0
Q4736532,[],[],[],[],['Q28640'],[],Cultural Agnostic,1,0,0,1,0,0,1,0,0,1
Q663,[],[],[],[],"['Q11344', 'Q11426', 'Q1130479']",[],Cultural Agnostic,3,0,0,1,0,0,0,0,0,3
Q4737473,[],[],[],[],['Q21114848'],[],Cultural Agnostic,1,0,0,1,0,0,1,0,0,1
Q82840,[],[],[],[],['Q5'],[],Cultural Representative,1,0,0,1,0,0,1,0,0,1
Q9149255,[],['Q36'],[],[],['Q375336'],[],Cultural Exclusive,1,0,0,1,0,0,1,0,0,2
Q686038,[],['Q145'],[],[],['Q2085381'],[],Cultural Exclusive,1,0,0,1,0,0,0,0,0,2
Q155931,[],[],[],[],['Q16521'],[],Cultural Agnostic,1,0,0,1,0,0,1,0,0,1
Q455620,[],[],[],[],['Q201658'],[],Cultural Agnostic,1,0,0,1,0,0,1,0,0,1
Q455632,[],[],[],[],[],[],Cultural Agnostic,0,0,0,0,0,0,0,0,0,0
Q16931065,[],[],[],[],"['Q41710', 'Q9174']",[],Cultural Representative,2,0,0,1,0,0,0,0,0,2
Q457893,[],['Q30'],[],[],"['Q1107679', 'Q1762059', 'Q10689397']",[],Cultural Representative,3,0,0,1,0,0,1,0,0,4
Q2407259,[],[],[],[],['Q5'],[],Cultural Representative,1,0,0,1,0,0,1,0,0,1
Q97003,[],[],[],[],['Q5'],[],Cultural Exclusive,1,0,0,1,0,0,1,0,0,1
Q463606,[],['Q30'],[],[],['Q378427'],[],Cultural Exclusive,1,0,0,1,0,0,1,0,0,2
Q689770,[],[],[],[],['Q1004'],[],Cultural Representative,1,0,0,1,0,0,0,0,0,1
Q55304,[],['Q183'],[],[],"['Q2577883', 'Q161243', 'Q188686', 'Q1620908', 'Q2221906']",[],Cultural Exclusive,5,0,0,1,0,0,0,0,0,6
Q4745508,[],[],[],[],['Q7777573'],[],Cultural Exclusive,1,0,0,1,0,0,1,0,0,1
Q466592,[],['Q30'],[],[],"['Q18127', 'Q783794', 'Q4830453']",[],Cultural Representative,3,0,0,1,0,0,1,0,0,4
Q466599,[],['Q30'],[],[],"['Q2442401', 'Q18127']",[],Cultural Exclusive,2,0,0,1,0,0,1,0,0,3
