qid,country_of_origin,country,located_in,part_of_culture,instance_of,heritage_status
Q388202,[],[],[],[],['q110401222'],[]
Q24910,['q35'],[],[],[],['q11424'],[]
Q4726861,[],['q252'],[],[],"['q1189816', 'q477544']",[]
Q392918,[],[],[],[],[],[]
Q4692205,[],['q30'],['q1439'],[],"['q82821', 'q27968055']",[]
Q866298,[],[],[],[],[],[]
Q393786,[],['q183'],[],[],"['q740752', 'q769493']",[]
Q395389,[],['q36'],[],[],"['q1331793', 'q6881511', 'q891723', 'q18127']",[]
Q174312,[],['q39'],"['q12724', 'q69062']",[],"['q685309', 'q486972', 'q123705']",[]
Q19890860,[],[],[],[],['q63982911'],[]
Q4693967,[],[],[],[],['q22811234'],[]
Q2942535,[],['q38'],['q13678'],[],"['q2977', 'q120560', 'q166118']",['q26971668']
Q4694505,[],['q96'],[],[],[],[]
Q2635155,['q1028'],[],[],[],"['q188451', 'q107357104']",[]
Q26111350,[],[],[],[],['q1826286'],[]
Q310609,[],[],[],[],['q45594'],[]
Q174401,[],['q183'],['q16104'],[],"['q476028', 'q847017']",[]
Q403021,[],['q30'],['q111517'],[],['q740752'],[]
Q5623,[],[],[],[],['q5'],[]
Q406714,[],[],[],[],"['q107487333', 'q188451']",[]
Q4698311,[],[],[],[],[],[]
Q407916,[],[],[],[],"['q862597', 'q188451']",[]
Q420953,[],['q30'],[],[],"['q431289', 'q161928']",[]
Q4698342,[],[],[],[],['q371174'],[]
Q2049775,[],[],[],[],['q371174'],[]
Q644628,[],[],[],[],['q31629'],[]
Q1248784,[],[],[],[],[],[]
Q4405347,[],[],[],[],['q15142889'],[]
Q403150,[],[],[],[],"['q740752', 'q465909']",[]
Q1936626,[],[],[],[],['q32880'],[]
Q1408668,[],['q142'],['q47465'],[],"['q868557', 'q43229']",[]
Q2078349,"['q230', 'q227']",[],[],[],[],[]
Q412873,['q60140'],[],[],[],['q5891'],[]
Q2828932,[],[],[],[],['q371174'],[]
Q276186,[],[],[],[],['q5'],[]
Q123559,[],"['q8575586', 'q1337854', 'q171740', 'q199688', 'q238445', 'q75613', 'q965692', 'q3025345', 'q3540212', 'q29', 'q45']",[],[],"['q2221906', 'q24457356', 'q27096213']",[]
Q11826,[],[],[],[],['q5'],[]
Q31066,[],[],[],[],['q5'],[]
Q4705114,"['q232', 'q813']",[],[],[],['q2207288'],[]
Q16663,[],['q29'],"['q81977', 'q71080']",[],['q4022'],[]
Q64780,[],"['q34266', 'q139319', 'q2305208', 'q1779823']",[],[],['q7278'],[]
Q1991629,[],[],[],[],"['q223393', 'q89522629']",[]
Q16002379,[],"['q222', 'q1246', 'q236']",[],[],"['q16334295', 'q82821']",[]
Q16513,[],['q29'],['q54929'],[],['q4022'],[]
Q71951,[],[],[],[],['q5'],[]
Q122338,[],[],[],[],['q5'],[]
Q60045,[],[],[],[],['q5'],[]
Q5687778,[],[],[],[],['q5'],[]
Q717441,[],[],[],[],['q5'],[]
Q64246,[],[],[],[],['q5'],[]
Q428656,[],[],[],[],"['q589183', 'q188451']",[]
Q527301,[],['q29'],['q15679'],[],"['q91717', 'q4989906']",['q23712']
Q2647483,[],[],[],[],['q1756157'],[]
Q4713282,[],[],[],[],['q7748'],[]
Q4713290,[],[],[],[],['q7748'],[]
Q154,[],[],[],[],"['q8386', 'q187661', 'q40050']",[]
Q4714042,[],['q30'],[],[],['q114392939'],[]
Q55215,[],[],[],[],['q5'],[]
Q263730,[],[],[],[],['q5'],[]
Q34474,[],[],[],[],['q5'],[]
Q98953,[],[],[],[],['q5'],[]
Q648952,[],[],[],[],['q5'],[]
Q435124,[],[],[],[],['q5'],[]
Q71763,[],[],[],[],['q5'],[]
Q15001,[],[],[],[],['q5'],[]
Q55221,[],[],[],[],['q5'],[]
Q55172,[],[],[],[],['q5'],[]
Q87,[],"['q79', 'q2277']","['q29943', 'q202311', 'q1018761', 'q1228622']",[],"['q2264924', 'q15284', 'q1549591', 'q148837', 'q515']",['q1459900']
Q88,[],['q30'],"['q1370', 'q3551781']",[],"['q1266818', 'q515']",[]
Q2356817,[],[],[],[],['q9174'],[]
Q185777,[],[],[],[],['q5'],[]
Q78229,[],[],[],[],['q5'],[]
Q88690,[],[],[],[],['q5'],[]
Q63781,[],[],[],[],['q5'],[]
Q103424,[],[],[],[],['q5'],[]
Q645598,[],[],[],[],['q5'],[]
Q558496,[],['q843'],['q11739'],[],['q41176'],[]
Q2563471,['q45'],[],[],[],[],[]
Q63556,[],[],[],[],['q5'],[]
Q223898,[],['q129286'],[],[],['q7278'],[]
Q69119,[],['q843'],[],[],['q7278'],[]
Q4729659,['q30'],[],[],[],[],[]
Q1471388,['q30'],[],[],[],['q14406742'],[]
Q946380,[],"['q2305208', 'q15180']",[],[],['q327333'],[]
Q4396,[],['q212'],[],[],['q7278'],[]
Q2361914,[],[],[],[],['q45594'],[]
Q39419,[],[],[],[],['q5'],[]
Q522831,['q183'],[],[],[],['q41298'],[]
Q4733366,[],[],[],[],['q1428660'],[]
Q4652400,[],['q30'],[],[],['q1331793'],[]
Q668041,['q3462133'],[],[],[],"['q41298', 'q3136090', 'q277759']",[]
Q2839173,[],[],[],[],[],[]
Q975953,[],[],[],[],"['q25403900', 'q40050']",[]
Q16665,[],['q29'],['q5777'],[],['q4022'],[]
Q16548,[],['q39'],['q11925'],[],['q8502'],[]
Q2142568,[],[],[],[],[],[]
Q252833,"['q40', 'q183', 'q215', 'q39']",[],[],[],['q188451'],[]
Q660559,[],[],[],[],['q18608583'],[]
Q2380231,[],['q41304'],[],[],"['q13418847', 'q10931']",[]
Q47996,['q145'],[],[],[],['q215380'],[]
Q1412422,[],[],[],[],"['q28640', 'q16335296']",[]
Q2479824,[],[],[],[],[],[]
Q4736532,[],[],[],[],['q28640'],[]
Q663,[],[],[],[],"['q11344', 'q11426', 'q1130479']",[]
Q4737473,[],[],[],[],['q21114848'],[]
Q82840,[],[],[],[],['q5'],[]
Q9149255,[],['q36'],[],[],['q375336'],[]
Q686038,[],['q145'],[],[],['q2085381'],[]
Q155931,[],[],[],[],['q16521'],[]
Q455620,[],[],[],[],['q201658'],[]
Q455632,[],[],[],[],[],[]
Q16931065,[],[],[],[],"['q41710', 'q9174']",[]
Q457893,[],['q30'],[],[],"['q1107679', 'q1762059', 'q10689397']",[]
Q2407259,[],[],[],[],['q5'],[]
Q97003,[],[],[],[],['q5'],[]
Q463606,[],['q30'],[],[],['q378427'],[]
Q689770,[],[],[],[],['q1004'],[]
Q55304,[],['q183'],[],[],"['q2577883', 'q161243', 'q188686', 'q1620908', 'q2221906']",[]
Q4745508,[],[],[],[],['q7777573'],[]
Q466592,[],['q30'],[],[],"['q18127', 'q783794', 'q4830453']",[]
Q466599,[],['q30'],[],[],"['q2442401', 'q18127']",[]
Q466649,[],['q30'],[],[],['q18127'],[]
Q121362839,[],[],[],[],['q2066131'],[]
Q2153495,[],[],[],[],[],[]
Q474024,[],['q183'],[],[],['q3305213'],[]
Q30595183,[],[],[],[],['q206615'],[]
Q474627,[],['q30'],[],[],['q18127'],[]
Q2904171,[],[],[],[],['q5'],[]
Q478185,[],['q55'],['q9899'],[],"['q123705', 'q1829505']",[]
Q478612,[],['q55'],['q9899'],[],['q123705'],[]
Q478614,[],['q55'],['q9899'],[],['q123705'],[]
Q8493,[],"['q874', 'q863', 'q889', 'q265']",['q186392'],[],['q4022'],[]
Q2719772,[],[],[],[],['q1826286'],[]
Q1134678,['q30'],[],[],[],['q202866'],[]
Q23915,[],['q142'],[],[],['q3305213'],[]
Q189790,[],[],[],[],[],[]
Q258137,[],[],[],[],[],[]
Q183216,[],[],[],[],"['q2915955', 'q5891']",[]
Q55603881,[],[],[],[],"['q113688024', 'q2915955']",[]
Q485501,[],[],[],[],['q58051350'],[]
Q42458,[],[],[],[],['q5'],[]
Q404782,[],[],[],[],['q7748'],[]
Q5959447,[],[],[],[],[],[]
Q21028568,[],[],[],[],"['q9134', 'q9174']",[]
Q3395377,[],[],[],[],[],[]
Q204100,[],[],[],[],[],[]
Q337547,[],[],[],[],['q9174'],[]
Q12982033,[],[],[],[],[],[]
Q7407,[],[],[],[],['q5'],[]
Q128964,[],[],[],[],['q5'],[]
Q518757,[],[],[],[],['q5'],[]
Q58040,[],[],[],[],['q5'],[]
Q63722,[],[],[],[],['q5'],[]
Q312529,[],[],[],[],['q5'],[]
Q522576,[],[],[],[],['q5'],[]
Q675,[],[],[],[],['q5'],[]
Q62986,[],[],[],[],['q5'],[]
Q66717,[],[],[],[],['q5'],[]
Q132205,[],[],[],[],['q5'],[]
Q55208,[],[],[],[],['q5'],[]
Q853,[],[],[],[],['q5'],[]
Q53412,[],[],[],[],['q5'],[]
Q2625574,[],[],[],[],['q5'],[]
Q504642,[],['q183'],['q1726'],[],['q4989906'],['q17297633']
Q76789,[],[],[],[],['q5'],[]
Q3069983,[],['q142'],['q12584'],[],['q220505'],[]
Q5116158,[],[],[],[],['q28640'],[]
Q3503560,[],[],[],"['q1340372', 'q3309134', 'q5193359']","['q23384401', 'q12189625']",[]
Q4765076,[],[],[],[],['q201658'],[]
Q202866,[],[],[],[],"['q110900120', 'q201658']",[]
Q25535862,[],[],[],[],['q21087376'],[]
Q779815,[],[],[],[],['q4220920'],[]
Q2850048,[],[],[],[],['q3516833'],[]
Q1107679,[],[],[],[],[],[]
Q71245939,[],[],[],[],['q63241860'],[]
Q43004,[],[],[],[],"['q9174', 'q110401222']",[]
Q4765220,[],[],[],[],"['q2927074', 'q3516833']",[]
Q770328,[],['q17'],[],[],"['q1107679', 'q18127']",[]
Q123957,[],[],[],[],['q5'],[]
Q1933,[],[],[],[],['q5'],[]
Q64417,[],[],[],[],['q5'],[]
Q556570,[],['q43'],['q3640'],[],"['q476028', 'q847017']",[]
Q557064,[],['q1206012'],[],[],['q786820'],[]
Q4766054,[],[],[],[],['q7777573'],[]
Q27167,[],[],[],[],['q5'],[]
Q24340,"['q142', 'q15180']",[],[],[],['q11424'],[]
Q215588,[],[],[],[],['q5'],[]
Q262789,[],[],[],[],['q5'],[]
Q4768004,[],['q668'],[],[],"['q375336', 'q1762059']",[]
Q106731,[],[],[],[],['q5'],[]
Q1408677,[],['q142'],[],[],['q220505'],[]
Q86078,[],[],[],[],['q5'],[]
Q62618,[],[],[],[],['q5'],[]
Q2869077,[],['q41'],['q922959'],[],['q12973014'],[]
Q641922,[],[],[],[],['q189819'],[]
Q65157816,[],['q1008'],[],[],['q11483816'],[]
Q569036,[],['q183'],['q14859'],[],['q847017'],[]
Q87449,[],[],[],[],['q5'],[]
Q111235034,[],"['q408', 'q664', 'q258', 'q298', 'q414']",[],[],['q29428403'],[]
Q336144,[],[],[],[],"['q201658', 'q110900120']",[]
Q109871,['q30'],[],[],[],['q215380'],[]
Q184719,['q43287'],[],[],[],"['q477544', 'q11499334']",[]
Q221810,[],[],[],[],[],[]
Q1558113,[],[],[],[],['q179805'],[]
Q574651,['q30'],[],[],[],['q188451'],[]
Q4774402,[],[],[],[],[],[]
Q4774470,[],[],[],[],[],[]
Q574767,[],[],[],[],['q868557'],[]
Q319909,[],[],[],[],[],[]
Q5522978,[],[],[],[],['q2915955'],[]
Q1168671,[],[],[],[],[],[]
Q4775515,[],[],[],[],['q5'],[]
Q556842,[],[],[],[],['q5'],[]
Q561048,[],[],[],[],['q5'],[]
Q30675089,[],[],[],[],['q11460'],[]
Q4778419,[],['q408'],['q36687'],[],['q19753730'],[]
Q252187,[],['q881'],[],[],[],[]
Q794686,[],[],[],[],['q28640'],[]
Q3702326,[],[],[],[],['q107357104'],[]
Q11409,[],[],[],[],"['q1156854', 'q8461']",[]
Q618859,[],[],[],[],['q34394'],[]
Q3620760,[],['q30'],[],[],['q123385977'],[]
Q1971644,[],[],[],[],['q11460'],[]
Q611358,[],[],[],[],['q3305213'],[]
Q814696,[],[],[],[],[],[]
Q372270,[],[],[],[],"['q40050', 'q431289']",[]
Q4781800,[],[],[],[],['q40050'],[]
Q622214,[],['q30'],[],[],['q18127'],[]
Q4782621,[],[],[],[],['q7777573'],[]
Q19820584,[],[],[],[],['q10675206'],[]
Q845813,[],[],[],[],"['q40050', 'q431289']",[]
Q1448518,[],[],[],[],['q21871294'],[]
Q1756633,[],[],[],[],['q55983715'],[]
Q11710365,[],[],[],[],"['q21871294', 'q55597235']",[]
Q106045144,[],[],[],[],['q47487597'],[]
Q12201423,[],[],[],[],"['q1914636', 'q1156854']",[]
Q623860,[],['q878'],['q613'],[],['q811979'],[]
Q1292502,[],[],[],[],['q109587099'],[]
Q630550,[],['q30'],[],[],['q18127'],[]
Q619308,[],['q16'],[],[],['q18127'],[]
Q673475,[],[],[],[],['q5'],[]
Q839954,[],[],[],[],[],[]
Q113161257,[],[],[],[],"['q15995642', 'q480319']",[]
Q26846,[],[],[],[],['q5'],[]
Q108429,[],[],[],[],"['q31629', 'q2312410']",[]
Q4787044,[],[],[],[],['q28640'],[]
Q811361,[],[],[],[],"['q206615', 'q214609']",[]
Q217175,[],[],[],[],['q19478619'],[]
Q1370468,[],[],[],[],[],[]
Q635515,[],['q183'],[],[],['q18127'],[]
Q95090,[],['q38'],['q16168'],[],"['q747074', 'q2221906']",[]
Q7854,[],['q414'],[],[],"['q18608583', 'q108886259']",[]
Q8498,[],['q889'],"['q173808', 'q173821']",[],['q4022'],[]
Q543756,[],['q41'],[],[],"['q13580678', 'q847017']",[]
Q263307,[],[],[],[],['q2915955'],[]
Q478839,[],['q30'],['q816'],[],"['q43501', 'q167346', 'q33506', 'q163740']",[]
Q1106732,['q30'],[],[],[],['q202866'],[]
Q672149,[],[],[],[],['q5'],[]
Q673123,[],['q30'],['q1612'],[],['q740752'],[]
Q673540,['q30'],['q30'],[],[],"['q2085381', 'q1320047']",[]
Q19939063,[],[],[],[],['q371174'],[]
Q56677347,[],[],[],[],['q12737077'],[]
Q106706300,[],[],[],[],['q28823'],[]
Q4792966,[],[],[],[],['q4167410'],[]
Q13446873,['q170072'],[],[],[],"['q28109769', 'q9174']",[]
Q95313,[],[],[],[],['q5'],[]
Q67576,[],[],[],[],['q5'],[]
Q282093,[],[],[],[],['q5'],[]
Q688417,[],['q40'],[],[],"['q2085381', 'q1320047']",[]
Q11679959,[],[],[],[],[],[]
Q1748346,[],['q55'],['q9899'],[],"['q1007870', 'q41298']",[]
Q673767,[],[],[],[],"['q18608583', 'q99538912']",[]
Q1135802,[],[],[],[],['q201658'],[]
Q1630100,[],[],[],[],['q28640'],[]
Q34636,[],[],[],[],"['q32880', 'q968159']",[]
Q705863,[],['q39'],[],[],[],[]
Q4797063,[],[],[],[],['q1004'],[]
Q705767,[],['q17'],['q204249'],[],['q1007870'],[]
Q1130955,[],['q38'],['q2044'],[],['q170161'],[]
Q3624145,[],[],[],[],['q968159'],[]
Q576913,[],['q38'],[],[],['q968159'],[]
Q262530,[],['q30'],[],[],['q18127'],[]
Q4797581,[],[],[],[],"['q206615', 'q167270', 'q1570182']",[]
Q108179271,[],[],[],[],['q201658'],[]
Q103039,[],[],[],[],['q5'],[]
Q78291,[],[],[],[],['q5'],[]
Q710558,[],[],[],[],['q5'],[]
Q493,[],[],[],[],['q5'],[]
Q215049,[],[],[],[],['q5'],[]
Q16154326,[],[],[],[],['q189819'],[]
Q43410,[],[],[],[],['q7748'],[]
Q944070,[],[],[],[],['q206615'],[]
Q713223,[],[],[],[],"['q4164871', 'q170584']",[]
Q3325736,[],[],[],[],[],[]
Q85743216,[],[],[],[],['q28640'],[]
Q19890761,[],[],[],[],['q12737077'],[]
Q697003,[],['q40'],['q660902'],[],"['q751876', 'q41176', 'q33506']",['q1188447']
Q715753,[],['q36'],['q1792'],[],"['q41176', 'q16974307']",['q29940414']
Q716861,['q801'],['q801'],['q430939'],[],"['q1153191', 'q14350', 'q1331793']",[]
Q4802544,['q878'],[],[],[],['q431289'],[]
Q102231027,[],[],[],[],['q8274'],[]
Q4803363,['q17'],[],[],[],['q40050'],[]
Q721214,[],['q796'],[],[],['q327333'],[]
Q778590,[],[],[],[],['q23038290'],[]
Q15073717,[],[],[],[],[],[]
Q38393,[],[],[],[],['q5'],[]
Q7097633,['q43'],"['q227', 'q27275', 'q399', 'q230']",[],[],['q12737077'],[]
Q35728,[],[],[],[],['q5'],[]
Q16206750,[],[],[],[],['q1156854'],[]
Q202223,[],[],[],[],['q220505'],[]
Q55007268,[],[],[],[],[],[]
Q663964,[],[],[],[],['q18608583'],[]
Q100709157,[],[],[],[],['q11862829'],[]
Q4806322,[],[],[],[],"['q35127', 'q1331793']",[]
Q4807473,['q155'],[],[],[],[],[]
Q4807846,['q30'],[],[],[],"['q40050', 'q431289']",[]
Q543178,[],[],[],[],['q189819'],[]
Q837480,[],[],[],[],[],[]
Q595901,[],['q142'],['q40898'],[],['q12973014'],[]
Q2867170,[],[],[],[],"['q188451', 'q107357104']",[]
Q741694,[],"['q142', 'q183']",[],[],['q2085381'],[]
Q200976,[],['q145'],[],[],"['q1762059', 'q4830453', 'q11396960']",[]
Q18009033,[],['q183'],[],[],[],[]
Q745694,[],['q232'],['q186466'],[],"['q1254933', 'q811979']",[]
Q536756,"['q142', 'q31']",[],[],[],['q202866'],[]
Q3061999,[],[],[],[],['q28640'],[]
Q109237320,[],[],[],[],['q206615'],[]
Q21403281,[],[],[],[],['q28640'],[]
Q99294,[],[],[],[],['q5'],[]
Q179060,[],['q183'],['q1055'],[],"['q476028', 'q847017']",[]
Q2038843,[],[],[],['q1747689'],['q7777573'],[]
Q565065,[],['q30'],[],[],"['q754501', 'q7328910', 'q41176']",[]
Q755342,[],['q41'],['q1224979'],[],"['q184644', 'q1021290', 'q811979', 'q10547643']",['q29048696']
Q2628742,[],['q41'],['q1224979'],[],"['q175331', 'q1679887', 'q13418847']",[]
Q7380012,[],[],[],[],[],[]
Q11047409,[],[],[],[],[],[]
Q11513337,[],[],[],[],['q12737077'],[]
Q4815653,[],[],[],[],['q40050'],[]
Q4816704,[],['q145'],['q202088'],[],"['q4830453', 'q726870', 'q200764']",[]
Q162827,[],[],[],[],"['q223393', 'q483394', 'q124608594']",[]
Q381955,[],['q38'],[],[],"['q270791', 'q4830453', 'q740752']",[]
Q4817637,[],[],[],[],['q7748'],[]
Q2870087,[],[],[],[],['q16335296'],[]
Q3197563,[],['q223'],['q695387'],[],['q200764'],[]
Q743426,[],['q142'],['q18338206'],[],['q811979'],[]
Q37819,[],['q664'],['q726917'],[],"['q41176', 'q967098', 'q159334', 'q1080794', 'q269770']",[]
Q265618,[],['q183'],[],[],"['q786820', 'q4830453']",[]
Q106833,[],[],[],[],"['q123330346', 'q223393', 'q4263830', 'q107124887', 'q108676140']",[]
Q42786,[],[],[],[],['q5'],[]
Q448812,[],[],[],[],['q5'],[]
Q511874,[],['q34'],[],[],['q378427'],[]
Q12718,[],[],[],[],['q5'],[]
Q284771,[],['q183'],['q2079'],[],['q41176'],[]
Q4821998,['q21'],[],[],[],"['q7257249', 'q11410', 'q349']",[]
Q16826268,[],['q796'],['q132754'],[],['q385378'],[]
Q447680,[],[],[],[],['q5'],[]
Q2570377,[],[],[],[],['q16335296'],[]
Q777851,[],[],[],[],[],[]
Q7341,[],"['q7318', 'q36']","['q1147618', 'q1803086']",[],"['q328468', 'q33506', 'q153813', 'q1497375']","['q9259', 'q29940414']"
Q4823773,[],['q408'],[],['q170355'],[],[]
Q376608,[],[],[],[],"['q9134', 'q9174', 'q189819']",[]
Q7870,[],['q408'],['q36687'],[],"['q18608583', 'q108886259']",[]
Q746344,[],['q408'],['q3258'],[],"['q327333', 'q12315821', 'q110376455']",[]
Q301884,[],['q40'],['q1741'],[],['q327333'],[]
Q695599,[],['q40'],[],[],"['q7188', 'q35798']",[]
Q7876,[],['q40'],[],[],"['q18608583', 'q108886259']",[]
Q537000,[],['q40'],[],[],['q3774608'],[]
Q389684,[],['q40'],[],[],['q740752'],[]
Q117262,[],['q40'],[],[],"['q740752', 'q2828218', 'q43229']",[]
Q67408,[],['q39'],['q65880'],[],"['q685309', 'q123705', 'q11183787']",[]
Q4184,[],[],[],[],['q223393'],[]
Q916964,[],[],[],[],[],[]
Q104870168,[],[],[],[],['q11862829'],[]
Q3267592,[],[],[],[],['q21114848'],[]
Q572981,[],['q142'],[],[],['q786820'],[]
Q1094397,[],[],[],[],[],[]
Q4877154,[],[],[],[],"['q7777573', 'q223393']",[]
Q280750,[],['q30'],[],[],['q18608583'],[]
Q131427,[],[],[],[],"['q902805', 'q21871294']",[]
Q126063,[],['q717'],['q191164'],[],"['q8502', 'q828329']",[]
Q1079215,[],[],[],[],['q12737077'],[]
Q3151875,[],['q16'],['q139497'],[],"['q163740', 'q166118']",[]
Q24871,['q30'],[],[],[],['q11424'],[]
Q12104,[],[],[],[],['q16521'],[]
Q4828343,[],[],[],[],[],[]
Q366012,[],[],[],[],['q5'],[]
Q2874323,[],[],[],[],['q117850'],[]
Q30449,[],[],[],[],['q5'],[]
Q2309,[],['q159'],[],[],"['q786820', 'q4830453', 'q891723']",[]
Q1185363,[],['q17'],[],[],"['q107357104', 'q108680062']",[]
Q792635,[],[],[],[],['q31629'],[]
Q85008,[],[],[],[],['q5'],[]
Q366601,[],['q403'],[],[],"['q4830453', 'q1331793', 'q1616075']",[]
Q4837248,[],[],[],[],[],[]
Q2433261,[],[],[],[],['q7748'],[]
Q541392,['q45'],[],[],[],[],[]
Q112656,['q183'],['q183'],['q1022'],[],"['q215380', 'q42998']",[]
